Open,High,Low,Close,Volume,AdjustedClose
4150.0,4150.0,4110.0,4110.0,122905900.0,3357.927978515625
4180.0,4300.0,4160.0,4300.0,220223600.0,3513.16064453125
4300.0,4310.0,4230.0,4310.0,130405400.0,3521.330810546875
4330.0,4330.0,4270.0,4270.0,86561100.0,3488.650390625
4250.0,4300.0,4250.0,4250.0,60952800.0,3472.309814453125
4270.0,4350.0,4260.0,4330.0,97709800.0,3537.6708984375
4380.0,4380.0,4300.0,4320.0,88570800.0,3529.500732421875
4340.0,4400.0,4340.0,4360.0,136421400.0,3562.181640625
4390.0,4430.0,4340.0,4360.0,228669400.0,3562.181640625
4390.0,4410.0,4330.0,4360.0,200791700.0,3562.181640625
4360.0,4400.0,4300.0,4400.0,173931000.0,3594.8623046875
4410.0,4420.0,4350.0,4380.0,103412300.0,3578.521728515625
4380.0,4390.0,4350.0,4360.0,120175700.0,3562.181640625
4360.0,4400.0,4320.0,4360.0,168879400.0,3562.181640625
4360.0,4400.0,4340.0,4370.0,107242600.0,3570.351806640625
4400.0,4470.0,4390.0,4410.0,181747100.0,3603.0322265625
4350.0,4370.0,4300.0,4310.0,205341100.0,3521.330810546875
4380.0,4410.0,4340.0,4350.0,193329000.0,3554.01123046875
4340.0,4350.0,4320.0,4320.0,103916700.0,3529.500732421875
4330.0,4350.0,4300.0,4300.0,135099400.0,3513.16064453125
4350.0,4350.0,4270.0,4280.0,205432400.0,3496.820068359375
4330.0,4340.0,4310.0,4330.0,138795300.0,3537.6708984375
4340.0,4340.0,4300.0,4300.0,84552100.0,3513.16064453125
4320.0,4330.0,4270.0,4270.0,121124400.0,3488.650390625
4260.0,4310.0,4260.0,4300.0,107799500.0,3513.16064453125
4300.0,4330.0,4280.0,4290.0,75055900.0,3504.990478515625
4280.0,4300.0,4270.0,4270.0,117653800.0,3488.650390625
4280.0,4290.0,4270.0,4270.0,87375200.0,3488.650390625
4250.0,4270.0,4220.0,4250.0,88409800.0,3472.309814453125
4250.0,4300.0,4250.0,4260.0,157219500.0,3480.47998046875
4250.0,4350.0,4240.0,4340.0,191475700.0,3545.841552734375
4320.0,4390.0,4310.0,4390.0,139929300.0,3586.692138671875
4410.0,4450.0,4380.0,4450.0,220616600.0,3635.712646484375
4430.0,4600.0,4420.0,4590.0,261126600.0,3750.09423828125
4670.0,4690.0,4550.0,4560.0,188042700.0,3725.584716796875
4510.0,4550.0,4460.0,4460.0,231936700.0,3643.8828125
4480.0,4620.0,4480.0,4600.0,250373200.0,3758.2646484375
4640.0,4640.0,4570.0,4610.0,119286700.0,3766.43505859375
4610.0,4630.0,4560.0,4560.0,97988000.0,3725.584716796875
4560.0,4640.0,4560.0,4580.0,141828800.0,3741.925048828125
4520.0,4610.0,4510.0,4580.0,149960600.0,3741.925048828125
4600.0,4700.0,4590.0,4610.0,295664100.0,3766.43505859375
4610.0,4620.0,4500.0,4500.0,282492200.0,3676.563720703125
4520.0,4600.0,4500.0,4570.0,134432000.0,3733.754150390625
4570.0,4600.0,4490.0,4490.0,138695500.0,3668.392822265625
4490.0,4550.0,4470.0,4550.0,159976900.0,3717.4140625
4500.0,4580.0,4500.0,4560.0,100425300.0,3725.584716796875
4540.0,4560.0,4480.0,4480.0,139074000.0,3660.223388671875
4480.0,4540.0,4410.0,4540.0,280747500.0,3709.244140625
4500.0,4550.0,4480.0,4530.0,213704600.0,3701.073974609375
4510.0,4560.0,4480.0,4520.0,161815300.0,3692.903564453125
4520.0,4540.0,4460.0,4480.0,169368600.0,3660.223388671875
4450.0,4510.0,4410.0,4490.0,224229200.0,3668.392822265625
4500.0,4550.0,4480.0,4530.0,159559600.0,3701.073974609375
4560.0,4650.0,4560.0,4640.0,256367100.0,3790.945068359375
4660.0,4660.0,4540.0,4540.0,182246200.0,3709.244140625
4540.0,4570.0,4510.0,4510.0,123346200.0,3684.733642578125
4480.0,4490.0,4430.0,4440.0,133678600.0,3627.542236328125
4420.0,4430.0,4340.0,4370.0,193923600.0,3570.351806640625
4390.0,4430.0,4370.0,4430.0,133742200.0,3619.37255859375
4470.0,4470.0,4400.0,4400.0,128741800.0,3594.8623046875
4390.0,4420.0,4350.0,4350.0,104269900.0,3554.01123046875
