Date,Open,High,Low,Close,Volume,AdjustedClose
2022-11-07,4650.0,4690.0,4610.0,4690.0,112070500,3831.796142578125
2022-11-08,4690.0,4690.0,4610.0,4620.0,80916300,3774.6044921875
2022-11-09,4600.0,4650.0,4600.0,4650.0,126493900,3799.115478515625
2022-11-10,4560.0,4580.0,4520.0,4530.0,196277400,3701.073974609375
2022-11-11,4620.0,4650.0,4590.0,4650.0,153238500,3799.115478515625
2022-11-14,4620.0,4640.0,4550.0,4580.0,140187600,3741.925048828125
2022-11-15,4580.0,4610.0,4560.0,4580.0,87986300,3741.925048828125
2022-11-16,4590.0,4610.0,4490.0,4520.0,245789200,3692.903564453125
2022-11-17,4520.0,4670.0,4500.0,4670.0,214514600,3815.455810546875
2022-11-18,4670.0,4680.0,4610.0,4610.0,105313200,3766.43505859375
2022-11-21,4620.0,4630.0,4560.0,4590.0,82279300,3750.09423828125
2022-11-22,4570.0,4670.0,4570.0,4590.0,154866000,3750.09423828125
2022-11-23,4640.0,4670.0,4630.0,4670.0,147280600,3815.455810546875
2022-11-24,4700.0,4740.0,4670.0,4720.0,156735700,3856.306396484375
2022-11-25,4700.0,4750.0,4690.0,4750.0,177861100,3880.8173828125
2022-11-28,4730.0,4830.0,4730.0,4820.0,214611600,3938.008056640625
2022-11-29,4820.0,4860.0,4790.0,4850.0,184916300,3962.5185546875
2022-11-30,4810.0,4980.0,4800.0,4980.0,560639800,4068.73046875
2022-12-01,5000.0,5025.0,4900.0,4940.0,267382600,4036.049560546875
2022-12-02,4900.0,4930.0,4860.0,4890.0,199981400,3995.199462890625
2022-12-05,4910.0,4930.0,4860.0,4890.0,88463000,3995.199462890625
2022-12-06,4860.0,4890.0,4800.0,4860.0,151325300,3970.6884765625
2022-12-07,4840.0,4840.0,4740.0,4760.0,253330100,3888.98681640625
2022-12-08,4760.0,4840.0,4710.0,4840.0,154313900,3954.348388671875
2022-12-09,4830.0,4840.0,4760.0,4800.0,203573100,3921.66748046875
2022-12-12,4800.0,4850.0,4760.0,4850.0,139582400,3962.5185546875
2022-12-13,4870.0,4980.0,4840.0,4970.0,194233200,4060.56005859375
2022-12-14,5000.0,5000.0,4870.0,4980.0,201275800,4068.73046875
2022-12-15,4900.0,4940.0,4880.0,4910.0,170702300,4011.53955078125
2022-12-16,4820.0,4980.0,4820.0,4980.0,594601900,4068.73046875
2022-12-19,4970.0,4980.0,4920.0,4970.0,82959800,4060.56005859375
2022-12-20,4930.0,4970.0,4890.0,4910.0,78671600,4011.53955078125
2022-12-21,4910.0,4940.0,4870.0,4890.0,71277800,3995.199462890625
2022-12-22,4910.0,4970.0,4900.0,4960.0,87321400,4052.3896484375
2022-12-23,4920.0,4940.0,4880.0,4880.0,53350600,3987.028564453125
2022-12-26,4900.0,4930.0,4890.0,4930.0,43581100,4027.87939453125
2022-12-27,4930.0,4950.0,4860.0,4870.0,74123800,3978.8583984375
2022-12-28,4870.0,4880.0,4810.0,4820.0,117912500,3938.008056640625
2022-12-29,4820.0,4870.0,4800.0,4870.0,106690700,3978.8583984375
2022-12-30,4870.0,4950.0,4870.0,4940.0,182091500,4036.049560546875
2023-01-02,4910.0,4920.0,4820.0,4870.0,100200100,3978.8583984375
2023-01-03,4830.0,4900.0,4830.0,4850.0,95136500,3962.5185546875
2023-01-04,4850.0,4850.0,4770.0,4770.0,188071000,3897.1572265625
2023-01-05,4750.0,4760.0,4570.0,4640.0,292142000,3790.945068359375
2023-01-06,4550.0,4640.0,4550.0,4620.0,175932000,3774.6044921875
2023-01-09,4580.0,4640.0,4550.0,4590.0,166164900,3750.09423828125
2023-01-10,4550.0,4570.0,4410.0,4430.0,282510000,3664.88427734375
2023-01-11,4410.0,4430.0,4360.0,4380.0,211610100,3623.52001953125
2023-01-12,4480.0,4520.0,4410.0,4500.0,210887800,3722.79443359375
2023-01-13,4510.0,4530.0,4420.0,4480.0,134592100,3706.248779296875
2023-01-16,4430.0,4530.0,4420.0,4520.0,172170900,3739.340087890625
2023-01-17,4520.0,4580.0,4510.0,4560.0,150577400,3772.43212890625
2023-01-18,4560.0,4620.0,4560.0,4600.0,178026000,3805.52294921875
